realSum,room_type,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,rest_index,lng,lat
156.1663602299439,0,2,0,1,0,10,1,1,1.427120634543335,0.16454877051108732,359.26010719962915,869.5279276097274,2.1561,41.37969
156.1663602299439,0,2,0,1,0,10,1,1,1.4679998563559449,0.13116104024248826,357.16383387694424,862.2116980546116,2.15595,41.37922
127.30700304885144,0,2,0,1,0,7,0,1,1.8407009006210424,0.526939636901134,514.547831435647,663.2337120803453,2.1811700000000003,41.40143
173.62161658947562,0,2,0,0,0,9,0,1,0.7537103650206972,0.05318730542874907,2065.0704898825193,1882.6068232197415,2.17354,41.38089
196.89529173551793,0,2,0,0,0,9,1,1,1.8561394737127697,0.881962856308838,448.19798688313085,771.429426752243,2.1630000000000003,41.403
144.52952265692275,0,2,1,1,0,10,1,1,1.9009202213675855,0.31176367909763186,345.34116658635196,796.900725788577,2.15171,41.37698
139.87478762771428,0,2,1,0,1,10,1,1,2.013812491272238,0.24544106194209225,350.09921364991345,888.8577555727517,2.15024,41.37678
902.5531221635208,1,6,0,0,1,8,0,3,0.576207114700253,0.2270088616448832,563.8111343091656,1151.3850544888394,2.17473,41.39092
121.48858426234084,0,2,0,0,0,8,0,1,2.245415266322569,0.46175225763860794,293.0051044634415,615.1486937790394,2.19623,41.39152
224.5909651593083,0,2,0,1,0,9,1,1,1.13205929054001,0.32172917915038324,736.1202059421948,1750.6112482420806,2.18272,41.38362
127.30700304885144,0,2,0,1,0,8,0,1,1.2714193555857805,0.3548656563815846,368.5922207413593,935.9289801411934,2.15538,41.38402
242.9771685246817,0,2,0,1,0,9,1,1,1.1699702287260492,0.3455294533377215,644.1142425535203,1590.7592769659304,2.18245,41.38231
381.9210091465543,0,2,1,0,0,10,1,1,0.9762308292153756,0.2228931879272409,774.6438346391278,1718.8175901306572,2.17941,41.38192
